Salt ID,Salt Smiles,Cation Heavy Atoms,Tanimoto Similarity Score,Molecular Relative,Anion,prediction 0,prediction 1,calculation 0,calculation 1,error 0,error 1,Round,category
C07_A07,CCCBc1c[n+](CF)c(F)c(N)c1S(F)(F)F.CC(C)C[C@H](N)C(=O)[O-],18,0.51953125,1-butyl-3-methylimidazolium,L-leucinate,775.87,1386.35,670.15,1135.67,15.78,22.07,0.2,Imidazolium
C13_A13,CCCNc1c(NCC)[n+](CC(N)=O)cn1C(C)C.CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C,19,0.5243902439024389,1-butyl-3-methylimidazolium,"bis(2,4,4-trimethylpentyl)phosphinate",887.47,1230.84,1065.40,1042.25,16.7,18.09,0.2,Imidazolium
C14_A14,BO[n+]1cc(F)c(NN)c(CCCC)c1N(C)CF.CCCC(=O)[O-],19,0.5275590551181102,1-butyl-3-methylimidazolium,butanoate,847.64,1271.85,835.59,1003.19,1.44,26.78,0.2,Imidazolium
C27_A27,CCCCCC(F)[n+]1ccc(N)c(N)c1N[SH](=O)=O.CCOS(=O)(=O)[O-],19,0.5301204819277109,1-butyl-3-methylimidazolium,ethylsulfate,883.96,1176.38,702.22,951.68,25.88,23.61,0.2,Imidazolium
C33_A33,CCCCC(N[SH]([N+])O)(PCF)[SH](C)CC.O=S(=O)([O-])C(F)(F)C(F)OC(F)(F)C(F)(F)F,16,0.5078125,N-methylpyrrolidone,"1,1,2-trifluoro-2-(perfluoroethoxy)ethanesulfonate",912.45,1247.18,605.42,985.68,50.71,26.53,0.2,Other
C50_A50,CCCCC(CNC)[n+]1cc(N[SH](=O)=O)c(C)cc1N.CCOS(=O)(=O)[O-],20,0.5217391304347826,1-butyl-3-methylimidazolium,ethylsulfate,1059.16,1416.06,733.68,1234.33,44.36,14.72,0.2,Imidazolium
C73_A73,C=Nc1ccc(N)[n+](C(CCCCCC)NC)c1.N#CC(=C=[N-])C#N,18,0.5339805825242718,1-hexyl-4-(4-methyl-1-piperidinyl)pyridinium,tricyanomethanide,738.37,1404.54,615.21,1051.62,20.02,33.56,0.2,Pyridinium
C82_A82,CC(=O)P(C(O)F)[N+](C)(CF)CPO.O=S(=O)([O-])C(F)(F)C(F)F,14,0.5284552845528455,N-methylpyrrolidone,"1,1,2,2-tetrafluoroethane-1-sulfonate",991.49,1320.39,543.53,1576.94,82.42,16.27,0.2,Other
C94_A94,CC(=O)C(CO)[n+]1ccccc1C(F)F.N#C[N-]C#N,15,0.5579399141630901,1-ethyl-2-methylpyridinium,dicyanamide,1032.6,1440.72,413.08,1270.73,149.98,13.38,0.2,Pyridinium
C03_A03,C=NC(C)C(F)[NH+](CF)C(F)C(N)(N)F.[Br-],15,0.5080645161290323,1-ethylpyridinium,bromide,670.62,1540.54,540.14,1591.30,24.16,3.19,0.2,Pyridinium
C01_A01,BCPC(NCCC)=[NH+]C(C)C(C)(F)F.O=S(=O)(F)[N-]S(=O)(=O)F,15,0.525,"N-ethyl-2-(2-methoxyethoxy)-N,N-dimethylethanaminium",bis(fluorosulfonyl)amide,1009.62,990.23,490.14,1166.08,105.99,15.08,0.2,Aminium
C23_A23,CCCCCC[N+]1(CC2CC2)CCCC1C(F)(F)F.CC(=O)[O-],19,0.5478260869565217,1-isobutyl-1-methylpyrrolidinium,acetate,912.01,1005.84,630.69,1068.19,44.61,5.84,0.2,Pyrrolidinium
C27_A27,CCC[SH](N)C(C)[NH+](CC)C(C)(C1CC1)S(N)(=O)=O.Cc1ccc(S(=O)(=O)[O-])cc1,19,0.515625,N-methylpyrrolidone,tosylate,943.06,1111.13,778.25,1181.28,21.18,5.94,0.2,Other
C32_A32,CCCCC(CC)CCC[n+]1c(CC)ccc(F)c1N.[Br-],20,0.6329113924050633,1-ethyl-2-octylpyridin-1-ium,bromide,875.36,943.55,602.05,1129.41,45.4,16.46,0.2,Pyridinium
C45_A45,C=C=NC(N)CC(C)C(N)(C(=C)F)[NH+](F)C(F)C=C.[O-]c1ccccc1,19,0.532258064516129,1-butyl-3-methylimidazolium,phenolate,1018.85,1000.79,691.35,1175.60,47.37,14.87,0.2,Imidazolium
C53_A53,CCCCCCC(N)[N+](P)(CC)CCC.CC(C)C(=O)[O-],15,0.5377358490566038,1-methyl-1-octylpiperidin-1-ium,isobutyrate,970.63,919.81,749.06,948.39,29.58,3.01,0.2,Piperidinium
C60_A60,CCCCC(CC[N+](C)(C)F)C(=O)O.CCCCCCCCCCCCOS(=O)(=O)[O-],14,0.5779816513761468,N-methylpyrrolidone,dodecyl sulfate,1000.16,955.64,887.07,1050.28,12.75,9.01,0.2,Other
C72_A72,CCCCCCCn1cc[n+](C)c1NC.N#CN=C=[N-],15,0.7089947089947091,1-butyl-3-methylimidazolium,dicyanoazanide,891.85,854.32,545.39,1006.27,63.53,15.1,0.2,Imidazolium
C75_A75,Nc1[nH]cc(N[SH](=O)=O)[n+]1F.[Cl-],11,0.5217391304347826,1-ethylpyridinium,chloride,879.66,1175.48,234.64,1711.18,274.9,31.31,0.2,Pyridinium
C83_A83,CCCC(CC)CCCPn1cc(C)[n+](C)c1N.[Br-],18,0.5276595744680851,1-isobutyl-3-methylimidazolium,bromide,902.05,933.61,588.12,1156.96,53.38,19.3,0.2,Imidazolium
C84_A84,CCCn1cc(F)[n+](C(F)P=N)c1.[O-]c1ccccc1,13,0.5611814345991561,1-butyl-3-methylimidazolium,phenolate,1034.75,984.97,464.97,1200.50,122.54,17.95,0.2,Imidazolium
C92_A92,Cc1c[n+](CCCCCF)c(C(C)F)cc1N(C)F.N#C[N-]C#N,19,0.571625344352617,"1-hexyl-3,5-dimethyl-2-pentylpyridinium",dicyanamide,957.91,1040.29,575.17,1120.57,66.54,7.16,0.2,Pyridinium
