Salt ID,Salt Smiles,Cation Heavy Atoms,Tanimoto Similarity Score,Molecular Relative,Anion,Model Prediction,MD Calculation,Error
C18_A18,CCCCCCCC[n+]1cccc(C)c1CCC.CCCCCCCCOS(=O)(=O)[O-],18,0.6029850746268657,"1,2-diethylpyridinium",octyl sulfate,[1007.25  919.53],"1031.34, 969.50","[2.34, 5.15]"
C20_A20,CCCCCCCC[n+]1cccc(CF)c1.CCCCCCCCOS(=O)(=O)[O-],16,0.7909090909090909,N-octyl-3-methylpyridinium,octyl sulfate,[1059.73 1032.11],"818.43, 1018.95","[29.48, 1.29]"
C02_A02,CCCc1n(C)c(CC)c[n+]1C(N)C(C)C.N#C[N-]C#N,16,0.5236220472440944,1-butyl-3-methylimidazolium,dicyanamide,[1083.23  985.38],"522.10, 1011.91","[107.48, 2.62]"
C12_A12,CCCCC(CC)(CCC)CC[N+]1=C(S)CCC1.N[C@@H](CO)C(=O)[O-],18,0.5132743362831859,"N,N,N-triethyldodecan-1-aminium",L-serinate,[1040.46 1013.98],"783.03, 1015.28","[32.88, 0.13]"
C13_A13,CCC(CCP)C(SCC(C)CCCN)N([NH3+])O.NCCCC[C@H](N)C(=O)[O-],18,0.509009009009009,1-butyl-3-methylimidazolium,L-lysinate,[992.99 945.94],"886.71, 1072.22","[11.99, 11.78]"
C14_A14,CCCC([NH3+])C(C)(CCC)N(N=N)C(C)=O.[Cl-],16,0.5079365079365079,1-ethylpyridinium,chloride,[1046.05 1048.13],"460.58, 1018.01","[127.12, 2.96]"
C15_A15,CCCCC(CC)(CCC)CC[N+]1=C(S)CCC1.N[C@@H](CO)C(=O)[O-],18,0.5132743362831859,"N,N,N-triethyldodecan-1-aminium",L-serinate,[1040.46 1013.98],"713.49, 1015.79","[45.83, 0.18]"
C16_A16,CCC(CCCCCCCCCl)n1cc[n+](C)c1.NCCCC[C@H](N)C(=O)[O-],18,0.7486033519553073,1-butyl-3-methylimidazolium,L-lysinate,[1059.49  984.56],"819.28, 1030.00","[29.32, 4.41]"
C19_A19,CCCCCC[n+]1ccn(C(N)(CC)CCC)c1.C[C@@H](O)[C@H](N)C(=O)[O-],18,0.6146788990825688,1-butyl-3-methylimidazolium,L-threoninate,[1064.97 1020.5 ],"752.00, 1006.06","[41.62, 1.44]"
C24_A24,CCC(CCCS)[n+]1cc[nH]c1.CS(=O)(=O)[O-],12,0.6878612716763006,1-butyl-3-methylimidazolium,methanesulfonate,[1004.25  906.21],"445.29, 1210.55","[125.53, 25.14]"
